paper_id,title,field,value,status,page,manual_decision,rationale,snippet
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,task,confidence-ranked ligand pose generation,weak,5,reject,"Too broad, weakly supported, or not central enough for the benchmark gold schema.",PLINDER: The protein-ligand interactions dataset and evaluation resource Figure 2. DiffDock performance. Success rate as the percentage of test systems with at least one pose with RMSD <2 ˚A from reference in the Top-10 poses when trained of different training sets and tested on: A
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,models_or_methods,PoseBusters,weak,4,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","ms: For a given train-test split, similarity metric and threshold, we find the fraction of test systems having at least one connection (an edge with sim- ilarity ≥threshold for that metric) with the train set (also applied to validation vs. test and train vs. PoseBusters). Since DiffDock is designed for single ligand docking, we focused on holo PLI systems involving only a single ligand and selected one system for each unique PDB ID, CCD code combination, yielding 106,745 systems across 35,255 unique ligand SMILES, referred t"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,models_or_methods,DiffDock,supported,1,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","interaction and ligand levels, and paired unbound (apo) and predicted structures. We propose an approach to generate training and evaluation splits that minimizes task-specific leak- age and maximizes test set quality, and compare the resulting performance of DiffDock when re- trained with different kinds of splits. 1. Introduction The protein-ligand field has seen a surge in the application of deep learning-based prediction methods, notably in tasks such as rigid body docking (St¨ark et al., 2022; Lu et al., 2022; Corso e"
paper_007,EquiBind: Geometric Deep Learning for Drug Binding Structure Prediction,task,protein-ligand binding pose prediction,supported,6,accept,Accepted as a main task or own method/component after manual review.,"EQUIBIND: Geometric Deep Learning for Drug Binding Structure Prediction sα := cos(α) sin(α)  . Thus, we rewrite the constraint in Equa- tion (2) as s∆kl = Aβkk′l′ls∆k′l′ , ∀k, k′ ∈Ni, ∀l, l′ ∈Nj. Equation (1) is then rewritten for bond (i,j), up to a constant: max {∆kl} X k∈Ni X l∈Nj ⟨s∆kl, s∗ ∆kl⟩ (3"
paper_007,EquiBind: Geometric Deep Learning for Drug Binding Structure Prediction,task,direct-shot molecular docking,supported,1,accept,Accepted as a main task or own method/component after manual review.,"gineering. Ex- isting methods are computationally expensive as they rely on heavy candidate sampling cou- pled with scoring, ranking, and ﬁne-tuning steps. We challenge this paradigm with EQUIBIND, an SE(3)-equivariant geometric deep learning model performing direct-shot prediction of both i) the re- ceptor binding location (blind docking) and ii) the ligand’s bound pose and orientation. EquiBind achieves signiﬁcant speed-ups and better quality compared to traditional and recent baselines. Fur- ther, we show extra i"
paper_007,EquiBind: Geometric Deep Learning for Drug Binding Structure Prediction,task,rigid receptor blind docking,supported,1,accept,Accepted as a main task or own method/component after manual review.,"rely on heavy candidate sampling cou- pled with scoring, ranking, and ﬁne-tuning steps. We challenge this paradigm with EQUIBIND, an SE(3)-equivariant geometric deep learning model performing direct-shot prediction of both i) the re- ceptor binding location (blind docking) and ii) the ligand’s bound pose and orientation. EquiBind achieves signiﬁcant speed-ups and better quality compared to traditional and recent baselines. Fur- ther, we show extra improvements when coupling it with existing ﬁne-tuning techniques at"
paper_008,"DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",task,confidence-ranked ligand pose generation,supported,4,accept,Accepted as a main task or own method/component after manual review.,"ck top-1 Figure 2: “DIFFDOCK top-1” refers to the sample with the highest conﬁdence. “DIFFDOCK sam- ples” to the other diffusion model samples. Left: Visual diagram of the advantage of generative models over regression models. Given uncertainty in the correct pose (represented by the orange distribution), regression models tend to predict the mean of the distribution, which may lie in a region of low density. Center: when there is a global symmetry in the protein (aleatoric uncer- tainty), EquiBind places the molecu"
paper_008,"DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",models_or_methods,EquiBind,supported,4,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.",Published as a conference paper at ICLR 2023 TANKBind Crystal EquiBind DiffDock samples DiffDock top-1 Figure 2: “DIFFDOCK top-1” refers to the sample with the highest conﬁdence. “DIFFDOCK sam- ples” to the other diffusion model samples. Left: Visual diagram of the advantage of generative models over regression models. Given unc
paper_009,SE(3) Stochastic Flow Matching for Protein Backbone Generation / FoldFlow,task,simulation-free generative modeling on SE(3),supported,1,reject,"Too broad, weakly supported, or not central enough for the benchmark gold schema.","ity, 2Mila, 3Dreamfold, 4Université de Montréal, 5University of Oxford ABSTRACT The computational design of novel protein structures has the potential to impact numerous scientific disciplines greatly. Toward this goal, we introduce FOLDFLOW a series of novel generative models of increasing modeling power based on the flow-matching paradigm over 3D rigid motions—i.e. the group SE(3)—enabling accurate modeling of protein backbones. We first introduce FOLDFLOW-BASE a simulation-free approach to learning deterministic"
paper_009,SE(3) Stochastic Flow Matching for Protein Backbone Generation / FoldFlow,models_or_methods,harmonic self-conditioned flow matching,supported,15,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","yn A Hooper, et al. Computational design of trimeric influenza-neutralizing proteins targeting the hemagglutinin receptor binding site. Nature biotechnology, 35(7):667–671, 2017. (Cited on page 1) Hannes Stärk, Bowen Jing, Regina Barzilay, and Tommi Jaakkola. Harmonic self-conditioned flow matching for multi-ligand docking and binding site design, 2023. (Cited on page 27) Alexander Tong, Jessie Huang, Guy Wolf, David van Dijk, and Smita Krishnaswamy. TrajectoryNet: A dynamic optimal transport network for modeling cellular dynamics. International Confere"
paper_009,SE(3) Stochastic Flow Matching for Protein Backbone Generation / FoldFlow,models_or_methods,equivariant flow matching,supported,13,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","Published as a conference paper at ICLR 2024 Leon Klein, Andreas Krämer, and Frank Noé. Equivariant flow matching. arXiv preprint arXiv:2306.15030, 2023. (Cited on page 9) Jonas Köhler, Leon Klein, and Frank Noé. Equivariant flows: exact likelihood generative learning for symmetric densities. In International conference on machine learning, pp. 5361–5370. PMLR, 2020. (Ci"
paper_010,FrameFlow: Fast Protein Backbone Generation with SE(3) Flow Matching,task,protein structure generation,supported,6,accept,Accepted as a main task or own method/component after manual review.,"arzilay, and Tommi Jaakkola. Diffusion probabilistic modeling of protein backbones in 3d for the motif-scaffolding problem. arXiv preprint arXiv:2206.04119, 2022. [2] Kevin Eric Wu, Kevin K Yang, Rianne van den Berg, James Zou, Alex Xijie Lu, and Ava P Amini. Protein structure generation via folding diffusion. 2022. 7GENIE reports 0.85 designability using the scTM > 0.5 criterion. We are able to replicate this finding, but designability in terms of scRMSD is significantly lower. 6"
paper_010,FrameFlow: Fast Protein Backbone Generation with SE(3) Flow Matching,task,SE(3)-equivariant flow matching for proteins,supported,3,reject,"Too broad, weakly supported, or not central enough for the benchmark gold schema.","Flow matching on SE(3). We now describe the application of FM to protein backbone generation. The backbone atom positions of each residue in a protein backbone are parameterized by a rigid transformation T ∈SE(3) (see Jumper et al. [12], Yim et al. [3]). Each f"
paper_010,FrameFlow: Fast Protein Backbone Generation with SE(3) Flow Matching,models_or_methods,equivariant flow matching,supported,7,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","-conditioning. International Conference on Learning Representations, 2023. [16] Dmitry I Nikolayev and Tatjana I Savyolov. Normal distribution on the rotation group SO(3). Textures and Microstructures, 29, 1970. [17] Leon Klein, Andreas Krämer, and Frank Noé. Equivariant flow matching. arXiv preprint arXiv:2306.15030, 2023. [18] Neta Shaul, Ricky TQ Chen, Maximilian Nickel, Matthew Le, and Yaron Lipman. On kinetic optimal probability paths for generative models. In International Conference on Machine Learning, pages 30883–30907. PMLR, 2023"
paper_010,FrameFlow: Fast Protein Backbone Generation with SE(3) Flow Matching,models_or_methods,conditional flow matching,supported,2,accept,Accepted as a main task or own method/component after manual review.,"), x ∼pt(x|x1) and ∥·∥2 g is the norm induced by the Riemannian metric g. This loss can be reparameterized by defining the conditional flow, xt = ψt(x0|x1), where ψt is the solution to d dtψt(x) = ut (ψt (x0|x1) |x1) with initial condition ψ0(x0|x1) = x0. The conditional flow matching loss can then be written as: LCFM = Et,p1(x1),p0(x0) h ∥vt(xt) −˙xt∥2 g i . (2) Once trained, samples can be generated by simulating eq. (1) using the learned vector field vt. 2"
paper_010,FrameFlow: Fast Protein Backbone Generation with SE(3) Flow Matching,models_or_methods,Riemannian flow matching,supported,7,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","n with rfdiffusion. Nature, pages 1–3, 2023. [5] Yaron Lipman, Ricky TQ Chen, Heli Ben-Hamu, Maximilian Nickel, and Matt Le. Flow matching for generative modeling. International Conference on Learning Representations, 2023. [6] Ricky TQ Chen and Yaron Lipman. Riemannian flow matching on general geometries. arXiv preprint arXiv:2302.03660, 2023. [7] Aram-Alexandre Pooladian, Heli Ben-Hamu, Carles Domingo-Enrich, Brandon Amos, Yaron Lipman, and Ricky Chen. Multisample flow matching: Straightening flows with minibatch couplings. arXiv prepri"
paper_011,DiffBindFR: An SE(3) Equivariant Network for Flexible Protein-Ligand Docking,models_or_methods,PoseBusters,supported,4,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","have shown that the time-split of PDBbind is more practical and critical over artificial splits such as ligand scaffolds or protein sequence/structure similarity for the model generalization in drug repurposing, lead optimization, and virtual screening. 3.1.2 Posebusters test set The PoseBusters test set47 is a meticulously curated collection of crystal complexes sourced from the PDB62. This set encom- passes a diverse array of high-caliber, recent protein-ligand com- plexes characterized by drug-like molecules. With 428 dist"
paper_011,DiffBindFR: An SE(3) Equivariant Network for Flexible Protein-Ligand Docking,models_or_methods,TANKBind,supported,6,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","dence model or scoring function, are analyzed. DiffBindFR- Smina and DiffBindFR-MDN significantly outperform other deep learning-based pocket docking methods (Fig. 3.(A)), including KarmaDock with RDKit48 ligand conformation alignment (Kar- maDock Align) and TankBind with predefined pocket (TankBind- Pocket). This highlights the advantage of our full-atom based model. Even when compared to the traditional rigid receptor docking methods AutoDock Vina and Glide, with the experimen- tally determined side chain conformations"
paper_011,DiffBindFR: An SE(3) Equivariant Network for Flexible Protein-Ligand Docking,models_or_methods,DiffDock,supported,2,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","eep learning38 models such as EquiBind39, LigPose40, E3Bind41, Uni-Mol42, and KarmaDock43 iteratively predict the three-dimensional coordinates of ligands directly around the whole protein (blind docking) or predefined pocket. Recent SOTA blind docking method DiffDock44, based on the diffusion generative modelling45, employed the SE(3) equivariant neural network46 to denoise the rotation, translation, and bond torsion of ligand, and then rank poses by additional confidence model. However, these existing deep learning-based"
paper_012,Improved Motif-Scaffolding with SE(3) Flow Matching,task,functional protein design,supported,2,accept,Accepted as a main task or own method/component after manual review.,"Published in Transactions on Machine Learning Research (07/2024) Abstract Protein design often begins with the knowledge of a desired function from a motif which motif-scaffolding aims to construct a functional protein around. Recently, generative models have achieved breakthrough success in designing scaffolds for a range of motifs."
paper_013,Deep Confident Steps to New Pockets: Strategies for Docking Generalization / DockGen,task,protein-ligand docking generalization,supported,4,accept,Accepted as a main task or own method/component after manual review.,"4.3 27.6 3.7 25 DIFFDOCK-S + C.B.† (10) - - - - 24.0 3.8 2.8 To obtain a more sizable test set without retraining the models on a reduced set, we turn to the Bind- ing MOAD dataset [Hu et al., 2005]. Similar to PDBBind, Binding MOAD is a curated collection of protein-ligand complexes from the PDB. However, due to its different filtering and requirements (e.g. no requirement for known affinity), it contains a set of 41k complexes partially disjoint from PDBBind. These come from 525 ECOD clusters, 346 of which are in"
paper_013,Deep Confident Steps to New Pockets: Strategies for Docking Generalization / DockGen,task,confidence-guided molecular docking,supported,6,accept,Accepted as a main task or own method/component after manual review.,"Published as a conference paper at ICLR 2024 We introduce CONFIDENCE BOOTSTRAPPING, a training mechanism that refines a diffusion gen- erator based on feedback from a confidence model. The diffusion model is used to “roll out” the reverse diffusion process, generating poses that are then scored with the confidence mod"
paper_014,FlowMol: Mixed Continuous and Categorical Flow Matching for 3D De Novo Molecule Generation,task,atom-and-bond generation,supported,1,accept,Accepted as a main task or own method/component after manual review.,"molecule generation. Flow matching provides flexibility in model design; however, the framework is predicated on the assumption of continuously-valued data. 3D de novo molecule generation requires jointly sampling continuous and categorical variables such as atom position and atom type. We extend the flow matching framework to categorical data by constructing flows that are constrained to exist on a continuous representation of categorical data known as the probability simplex. We call this extension SimplexFlow. W"
paper_014,FlowMol: Mixed Continuous and Categorical Flow Matching for 3D De Novo Molecule Generation,task,flow matching for molecule generation,supported,2,accept,Accepted as a main task or own method/component after manual review.,"Figure 1: Overview of FlowMol Top: We adapt the flow matching framework for unconditional 3D molecule generation. An ordinary differential equation parameterized by a graph neural network transforms a prior distribution over atom positions, types, charges, and bond orders to the dis"
paper_014,FlowMol: Mixed Continuous and Categorical Flow Matching for 3D De Novo Molecule Generation,models_or_methods,harmonic self-conditioned flow matching,supported,12,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","owen Jing, Bonnie Berger, and Tommi Jaakkola. AlphaFold Meets Flow Matching for Generating Protein Ensembles, February 2024. URL http://arxiv.org/abs/2402.04845. arXiv:2402.04845 [cs, q-bio]. [21] Hannes Stärk, Bowen Jing, Regina Barzilay, and Tommi Jaakkola. Harmonic Self-Conditioned Flow Matching for Multi-Ligand Docking and Binding Site Design, March 2024. URL http://arxiv.org/abs/2310.05764. arXiv:2310.05764 [cs]. [22] Han Huang, Leilei Sun, Bowen Du, and Weifeng Lv. Learning Joint 2D & 3D Diffusion Models for Complete Molecule Generation, June 2023"
paper_014,FlowMol: Mixed Continuous and Categorical Flow Matching for 3D De Novo Molecule Generation,models_or_methods,equivariant flow matching,supported,14,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","Precup. MUDiff: Unified Diffusion for Complete Molecule Generation, February 2024. URL http://arxiv.org/abs/2304.14621. arXiv:2304.14621 [cs, q-bio]. [46] Yuxuan Song, Jingjing Gong, Minkai Xu, Ziyao Cao, Yanyan Lan, Stefano Ermon, Hao Zhou, and Wei-Ying Ma. Equivariant Flow Matching with Hybrid Probability Transport, December 2023. URL http://arxiv.org/abs/ 2312.07168. arXiv:2312.07168 [cs]. [47] Hannes Stark, Bowen Jing, Chenyu Wang, Gabriele Corso, Bonnie Berger, Regina Barzilay, and Tommi Jaakkola. Dirichlet Flow Matching with Applica"
paper_015,FoldFlow-2: Sequence-Augmented SE(3)-Flow Matching for Conditional Protein Backbone Generation,task,inverse folding,supported,12,accept,Accepted as a main task or own method/component after manual review.,"n, O. Kabeli, R. Rao, N. Smetanin, T. Sercu, and A. Rives. A high-level programming language for generative protein design. bioRxiv, pages 2022–12, 2022. (Cited on page 10) C. Hsu, R. Verkuil, J. Liu, Z. Lin, B. Hie, T. Sercu, A. Lerer, and A. Rives. Learning inverse folding from millions of predicted structures. International conference on machine learning, 2022. (Cited on page 6) P.-S. Huang, S. E. Boyken, and D. Baker. The coming of age of de novo protein design. Nature, 537 (7620):320–327, 2016. (Cited on page 10) J. B. Ingra"
paper_016,SemlaFlow: Efficient 3D Molecular Generation with Latent Attention and Equivariant Flow Matching,task,molecular graph and geometry generation,weak,10,accept,Accepted as a main task or own method/component after manual review.,"Efficient 3D Molecular Generation Jiaqi Guan, Wesley Wei Qian, Xingang Peng, Yufeng Su, Jian Peng, and Jianzhu Ma. 3d equivariant diffu- sion for target-aware molecule generation and affinity prediction. In The Eleventh International Confer- ence on Learning Representations"
paper_016,SemlaFlow: Efficient 3D Molecular Generation with Latent Attention and Equivariant Flow Matching,task,flow matching for molecule generation,supported,5,accept,Accepted as a main task or own method/component after manual review.,"t in the remainder of this paper are constructed from 12 layers with dinv = 384, dequi = 64, dl = 64, nheads = 32. This corresponds to approximately 22M learnable parameters. We provide a full model overview and further hyperparameter details in Appendix C. 4 FLOW MATCHING FOR MOLECULAR GENERATION To assess the ability of Semla to model distributions with E(3) × SN symmetry we apply conditional flow matching (Lipman et al., 2023; Albergo and Vanden- Eijnden, 2023; Albergo et al., 2023; Liu et al., 2023) with optimal"
paper_016,SemlaFlow: Efficient 3D Molecular Generation with Latent Attention and Equivariant Flow Matching,models_or_methods,mixed continuous and categorical flow matching,supported,9,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","uivariant diffu- sion for pocket-conditioned de novo ligand genera- tion with multi-objective guidance via importance sampling. Chem. Sci., 15:14954–14967, 2024. doi: 10.1039/D4SC03523B. URL http://dx.doi.org/ 10.1039/D4SC03523B. Ian Dunn and David Ryan Koes. Mixed continuous and categorical flow matching for 3d de novo molecule generation. ArXiv, 2024. Stefan Elfwing, Eiji Uchibe, and Kenji Doya. Sigmoid- weighted linear units for neural network function approximation in reinforcement learning. Neural networks, 107:3–11, 2018. Victor Garcia Satorras, Emiel Ho"
paper_016,SemlaFlow: Efficient 3D Molecular Generation with Latent Attention and Equivariant Flow Matching,models_or_methods,harmonic self-conditioned flow matching,supported,11,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","nified generative modeling of 3d molecules with bayesian flow networks. In The Twelfth International Con- ference on Learning Representations, 2024. URL https://openreview.net/forum?id=NSVtmmzeRB. Hannes Stark, Bowen Jing, Regina Barzilay, and Tommi Jaakkola. Harmonic self-conditioned flow matching for joint multi-ligand docking and binding site design. In International Conference on Machine Learning. PMLR, 2024a. Hannes Stark, Bowen Jing, Chenyu Wang, Gabriele Corso, Bonnie Berger, Regina Barzilay, and Tommi Jaakkola. Dirichlet flow matching with appli"
paper_016,SemlaFlow: Efficient 3D Molecular Generation with Latent Attention and Equivariant Flow Matching,models_or_methods,conditional flow matching,supported,2,accept,Accepted as a main task or own method/component after manual review.,"ess a number of shortcomings with existing metrics for 3D molecular generation. 2 BACKGROUND Flow Matching Flow matching seeks to learn a gen- erative process which transports samples from a noise distribution pnoise to samples from a data distribution pdata. Conditional flow matching (CFM) has emerged in different flavors as an effective way to train flow matching models (Albergo and Vanden-Eijnden, 2023; Liu et al., 2023; Lipman et al., 2023). CFM works in a simulation-free manner by interpolating between noise and a data sample x1 ∼pdat"
paper_018,AtomFlow: Design of Ligand-Binding Proteins with Atomic Flow Matching,task,protein-ligand complex generation,supported,4,accept,Accepted as a main task or own method/component after manual review.,"e protein-ligand complex as a series of biotokens and embed their token and pair level features. Starting from a noisy sample, the flow matching procedure gradually generates the designed structure x1 with a structure prediction network. 4.1 FLOW MATCHING FOR PROTEIN-LIGAND COMPLEX GENERATION We jointly design the complex structure x = xm ∪xp, which lies in the space of RN×3, with a flow matching model. Considering that different structures obtained under arbitrary SE(3) transformations 4"
paper_018,AtomFlow: Design of Ligand-Binding Proteins with Atomic Flow Matching,task,ligand conformation and protein backbone generation,supported,1,accept,Accepted as a main task or own method/component after manual review.,"Preprint. DESIGN OF LIGAND-BINDING PROTEINS WITH ATOMIC FLOW MATCHING Junqi Liu1,3, Shaoning Li2,3, Chence Shi3,4,5, Zhi Yang1,†, Jian Tang4,6,7,3,† 1 School of Computer Science, Peking University 2 The Chinese University of Hong Kong 3 BioGeometry 4 Mila - Québec AI Institute 5 U"
paper_018,AtomFlow: Design of Ligand-Binding Proteins with Atomic Flow Matching,models_or_methods,harmonic self-conditioned flow matching,supported,13,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","Kingma, Abhishek Kumar, Stefano Ermon, and Ben Poole. Score-Based Generative Modeling through Stochastic Differential Equations. International Conference on Learning Representations (ICLR), 2021. Hannes Stark, Bowen Jing, Regina Barzilay, and Tommi Jaakkola. Harmonic Self-Conditioned Flow Matching for joint Multi-Ligand Docking and Binding Site Design. In Forty-first International Conference on Machine Learning, volume abs/2310.05764, 2024. Joseph L. Watson, David Juergens, Nathaniel R. Bennett, Brian L. Trippe, Jason Yim, Helen E. Eisenach, Woody Aher"
paper_018,AtomFlow: Design of Ligand-Binding Proteins with Atomic Flow Matching,models_or_methods,Riemannian flow matching,supported,5,accept,Accepted as a main task or own method/component after manual review.,": RN×3/SE(3), where two structures are identical if they could be perfectly aligned with an SE(3) transformation (Jing et al., 2024). This quotient space is proved to be a Riemannian manifold when defined with suitable care (Diepeveen et al., 2024). Following Riemannian Flow Matching (Chen & Lipman, 2024), we define a rectified flow on this manifold with a premetric d : Q × Q →R. We denote alignx(y) for x, y ∈RN×3 as aligning structure y to x to minimize RMSD, then the premetric d(x, y) could be defined as the minimum point-wise root mean"
paper_019,PocketFlow: Generalized Protein Pocket Generation with Prior-Informed Flow Matching,task,structure-based drug design,supported,11,reject,"Too broad, weakly supported, or not central enough for the benchmark gold schema.","zene, phe, tyr, and trp. Science, 271(5246):163–168, 1996. [27] Paul G Francoeur, Tomohide Masuda, Jocelyn Sunseri, Andrew Jia, Richard B Iovanisci, Ian Snyder, and David R Koes. Three-dimensional convolutional neural networks and a cross- docked data set for structure-based drug design. Journal of chemical information and modeling, 60(9):4200–4215, 2020. [28] Anum A Glasgow, Yao-Ming Huang, Daniel J Mandell, Michael Thompson, Ryan Ritterson, Amanda L Loshbaugh, Jenna Pellegrino, Cody Krivacic, Roland A Pache, Kyle A Barlow, et al. Computati"
