paper_id,title,field,value,status,page,decision,reason,snippet
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,models_or_methods,continuous normalizing flow,supported,3,review,Method evidence does not clearly say it is the paper's proposed method.,"tory ρ0 →ρ1 to ρt using ψt as ρt = [ψt]#(ρ0), with ψ0(x) = x for u : [0, 1] × M →M (i.e., a smooth time- dependent vector field (Bose et al., 2024)). This insight allows one to perform flow matching (FM) (Chen and Lipman, 2024) between ρ0 and ρ1 by learning a continuous normalizing flow (Papamakarios et al., 2021) to approximate the vector field ut with the parametric vθ. With ρ0 = ρprior and ρ1 = ρdata, we have that ρt advantageously permits simulation-free training. Although it is not possible to derive a closed form for ut (which generate"
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,models_or_methods,equivariant flow matching,supported,9,add,Supported method/component with proposed-method context.,"ction with alphafold. nature, 596(7873):583–589, 2021. T. Karras, M. Aittala, et al. Elucidating the design space of diffusion-based generative models. Advances in neural information processing systems, 35:26565–26577, 2022. L. Klein, A. Kr¨amer, and F. No´e. Equivariant flow matching. Advances in Neural Information Processing Systems, 36, 2024. Z. Lin, H. Akin, et al. Evolutionary-scale prediction of atomic- level protein structure with a language model. Science, 379 (6637):1123–1130, 2023. Z. Liu, Y. Li, et al. Pdb-wide collection of bin"
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,models_or_methods,FLOWSITE,supported,3,add,Supported method/component with proposed-method context.,"e excessively high computational resource requirements of running protein dynamics methods such as AlphaFlow (Jing et al., 2024) for each protein, we empirically find noised ESMFold structures to be a suitable surrogate. Harmonic ligand prior. Inspired by the FlowSite model for multi-ligand binding site design (Stark et al., 2024), FlowDock samples initial ligand conformations using a harmonic prior distribution constrained by the bond graph defined by one’s specified ligand SMILES strings. This prior can be sampled as a m"
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,models_or_methods,PLINDER,supported,7,review,This looks like a comparison/baseline/tool name; confirm before treating it as the paper method.,"to generalize to novel binding pockets, yet FlowDock achieves top performance in this regard by tying with single-sequence Chai-1. Further, to address this generalization issue, our preliminary results fine-tuning FlowDock for 48 hours using the new, diverse PLINDER (Durairaj et al., 2024) dataset (i.e., FlowDock-PFT), where we use the dataset’s crystal apo-to- holo mapped protein-ligand complex structures contained within its default PL50 training split and deposited in the PDB before 2018, suggest that comprehensively"
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,metrics,binding affinity,supported,1,review,Generic metric label; confirm whether the paper reports it as a main evaluation metric.,"c generative model based on conditional flow matching that learns to directly map unbound (apo) structures to their bound (holo) counterparts for an arbitrary number of binding ligands. Furthermore, FlowDock provides predicted structural confidence scores and binding affinity values with each of its generated protein-ligand complex structures, enabling fast virtual screening of new (multi-ligand) drug targets. For the well-known PoseBusters Benchmark dataset, FlowDock outperforms single-sequence AlphaFold 3 with a 51% blind dockin"
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,metrics,pocket RMSD,supported,6,add,Supported metric value absent from the original gold row.,"k-Chai-1 vs. FlowDock-AF3), providing users with multiple structure prediction options (e.g., ESMFold for faster and commercially available prediction inputs). A surprising finding illustrated in Figure 3 is that no method can consistently improve the binding pocket RMSD of AF3’s initial protein structural conformations, which contrasts with the results originally reported for flexible docking methods such as DynamicBind which used structures predicted by AF2 (Jumper et al., 2021) in its experiments. From this figure, we obse"
paper_003,Harmonic Self-Conditioned Flow Matching for joint Multi-Ligand Docking and Binding Site Design,models_or_methods,Riemannian flow matching,supported,9,review,Method evidence does not clearly say it is the paper's proposed method.,"generate physi- cally valid poses or generalise to novel sequences, 2023. Campbell, A., Harvey, W., Weilbach, C., Bortoli, V. D., Rainforth, T., and Doucet, A. Trans-dimensional genera- tive modeling via jump diffusion models, 2023. Chen, R. T. and Lipman, Y. Riemannian flow matching on general geometries. arXiv preprint arXiv:2302.03660, 2023. Chen, T., Liu, G.-H., and Theodorou, E. Likelihood train- ing of schr¨odinger bridge using forward-backward SDEs theory. In International Conference on Learning Rep- resentations, 2022a. URL https:"
paper_003,Harmonic Self-Conditioned Flow Matching for joint Multi-Ligand Docking and Binding Site Design,models_or_methods,self-conditioning,supported,3,add,Supported method/component with proposed-method context.,"- ation without residue type estimation. Our notation drops vθ’s conditioning on the pocket y and residue estimates a in this subsection (see the Architecture Section 3.3 for how y is included). Simply put, HARMONICFLOW is flow matching with a harmonic prior, self-conditioning, and x1 prediction (our refinement TFN layers in Section 3.3 are also important for performance). In more detail: Conditional Flow Matching. Given the data distribution p1 of bound ligand structures and any easy-to-sample prior p0 over Rn×3, we wish to learn"
paper_003,Harmonic Self-Conditioned Flow Matching for joint Multi-Ligand Docking and Binding Site Design,metrics,binding affinity,supported,7,review,Generic metric label; confirm whether the paper reports it as a main evaluation metric.,"ismatches of very similar amino acids would be more meaningful. To address this, we propose BLOSUM score, which takes evolutionary and physicochemical similarity into account. A precise defini- tion is in Appendix A.1. We note that metrics that correlate with binding affinity, such as MM-PBSA or docking scores of traditional docking software, usually require the atomic structure of the side chains as input, which is not available. Furthermore, they were only validated for discriminating different ligands, while in our design task,"
paper_003,Harmonic Self-Conditioned Flow Matching for joint Multi-Ligand Docking and Binding Site Design,metrics,inference time,supported,6,add,Supported metric value absent from the original gold row.,"tered) is the center of mass of all residues within 8 ˚A of noisy ligand distance. We additionally add Gaussian noise with σ = 0.2 to the pocket center. The motivation for the noisy distance cutoffs and pocket center is to alleviate distribution shifts during inference time and to prevent the models from inferring the ligand positions from the cutoff with which the pocket was constructed. In Radius-Pockets, we first obtain the center of mass of residues within 8 ˚A of any ligand heavy atom. The pocket includes all residues with"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,models_or_methods,continuous normalizing flow,supported,2,review,Method evidence does not clearly say it is the paper's proposed method.,"odeling and the generation of energetically favorable poses. 2 BACKGROUND AND RELATED WORK Flow matching. Given two distributions q0 and q1, Flow Matching (Lipman et al., 2022; Albergo et al., 2023) provides a way of learning a vector field vt which induces a continuous normalizing flow ψt(x) that transports q0 to q1, i.e., q1(x) = [ψ1]#q0(x), where # denotes the pushforward operator. The key idea in FM is to define a conditional flow ψt(x0|x1) interpolating between x0 ∼q0 and x1 ∼q1, and its associated vector field ut(xt|x1) = d dtψt(xt|x1)"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,models_or_methods,PoseBusters,supported,2,review,This looks like a comparison/baseline/tool name; confirm before treating it as the paper method.,"RMSD below 1Å) from 32% of DiffDock-Pocket to 42% while having the same training data and model architecture. Furthermore, thanks to the relaxation flow, the generated poses are far more physically realistic, as demonstrated by the proportion of poses passing PoseBusters checks (Buttenschoen et al., 2024) which increases from 30% to 73%. In summary, we propose Unbalanced Flow Matching, a new distribution matching framework, and prove it provides a way to balance sample efficiency and sample quality. Furthermore, by chaining t"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,models_or_methods,DiffDock,supported,2,review,This looks like a comparison/baseline/tool name; confirm before treating it as the paper method.,"LEXDOCK enhances structure prediction quality, especially for protein conformations. On the PDBBind flexible pocket-based dock- ing benchmark, FLEXDOCK improves the proportion of very accurate protein structure predictions (all-atom RMSD below 1Å) from 32% of DiffDock-Pocket to 42% while having the same training data and model architecture. Furthermore, thanks to the relaxation flow, the generated poses are far more physically realistic, as demonstrated by the proportion of poses passing PoseBusters checks (Buttenschoen et"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,metrics,intramolecular validity,supported,20,add,Supported metric value absent from the original gold row.,"ructures. We further remove hydrogen atoms while aligning the apo and holo structures. To measure the validity and physicality of generated poses, we also use the PoseBusters suite of tests (Buttenschoen et al., 2024), which evaluate i) chemical validity, ii) intramolecular validity for the ligand poses based on energetics and geometry, and iii) intermolecular interactions and steric clashes between protein and ligand. Metrics. To evaluate the generated ligand and protein pocket poses, we compute the RMSD between the predicted and ground"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,metrics,bond length validity,supported,19,add,Supported metric value absent from the original gold row.,"gorithm 6: INFERENCE: RELAXATION Input: Manifold Docking Predictions (xdock, ydock) Input: Inference Steps N Set x1 ←xdock Set y1 ←ydock ∆t ←1/N for n ←0toN −1 do t ←n/N Predict scores α, β ←s(xn, yn, t) Apply α to xn to get xn1 Apply β to yn to get yn1 end • Bond length validity due to condition (1) • Bond angle validity due to condition (2) • Internal steric clash due to condition (3) • Minimum protein-ligand distance due to condition (4) During training, we scale the energy loss term from a weight of 0 at t = 0 to 1 at t = 1 with t"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,metrics,PoseBusters validity,supported,18,add,Supported metric value absent from the original gold row.,"radius used by RDKit minus 0.75 • No upper bound is used 5. If the atom pair (i, j) represents two protein atoms • No lower bound is used • No upper bound is used Under this formulation, any conformation for which the potential is zero will pass the following PoseBusters validity checks as defined in Buttenschoen et al. (2024): 18"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,metrics,bond angle validity,supported,19,add,Supported metric value absent from the original gold row.,"fold Docking Predictions (xdock, ydock) Input: Inference Steps N Set x1 ←xdock Set y1 ←ydock ∆t ←1/N for n ←0toN −1 do t ←n/N Predict scores α, β ←s(xn, yn, t) Apply α to xn to get xn1 Apply β to yn to get yn1 end • Bond length validity due to condition (1) • Bond angle validity due to condition (2) • Internal steric clash due to condition (3) • Minimum protein-ligand distance due to condition (4) During training, we scale the energy loss term from a weight of 0 at t = 0 to 1 at t = 1 with the exponential schedule: λenergy t = eαt−1"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,metrics,chemical validity,supported,20,add,Supported metric value absent from the original gold row.,"constitute our holo structures. We further remove hydrogen atoms while aligning the apo and holo structures. To measure the validity and physicality of generated poses, we also use the PoseBusters suite of tests (Buttenschoen et al., 2024), which evaluate i) chemical validity, ii) intramolecular validity for the ligand poses based on energetics and geometry, and iii) intermolecular interactions and steric clashes between protein and ligand. Metrics. To evaluate the generated ligand and protein pocket poses, we compute the RMSD bet"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,metrics,steric clashes,supported,3,add,Supported metric value absent from the original gold row.,"of proteins using Diffusion Schrödinger Bridges by treating the apo and holo states as paired data. Structure Relaxation. Even in rigid docking, ML methods, despite improving geometric prediction accuracy, often produce poses with nonphysical properties like steric clashes and strained bonds (Buttenschoen et al., 2024). These artifacts can hinder downstream prediction tasks, necessitating relaxation using molecular dynamics force fields. However, this relaxation process is often long (Bryant et al., 2024), complicating its use"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,metrics,diversity,supported,22,review,Generic metric label; confirm whether the paper reports it as a main evaluation metric.,"ESMFold or its flow matching counterpart ESMFlow (Jing et al., 2024). The distributions look largely similar, with most of the RMSDs within 5A, followed by a long tail of larger RMSDs. This also highlights the limited ability of current methods to capture the diversity in the conformational space of apo protein structures. Figure 9: AA-RMSD distributions between apo and holo structures, with apo structures generated using ESMFold or ESMFlow E.3 SAMPLE EFFICIENCY In practice, rather than the actual sampling efficiency, one i"
paper_005,ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching,models_or_methods,conditional flow matching,supported,4,review,Method evidence does not clearly say it is the paper's proposed method.,"esponding tangent vector fields ut(x) ∈TxM. Flow Matching (FM) [29, 30] approximates ut(x) by a learned vector field vt(x), minimizing LRFM(θ) = Et, pt(x) vt(x) −ut(x) 2 g, where ∥· ∥g is the Riemannian norm and θ the parameters of vt. In practice, we use the Conditional Flow Matching (CFM) formulation: LCRFM(θ) = Et∼U(0,1), p1(x1), pt(x|x1) vt(x) −ut(x | x1) 2 g, which is easier to compute. Once trained, sampling from the data distribution is performed by integrating the learned ODE d dtφt(x) = vt(φt(x)), transforming points from the prio"
paper_005,ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching,models_or_methods,DiffDock,supported,9,review,This looks like a comparison/baseline/tool name; confirm before treating it as the paper method.,"e 2(a) reveals a clear stratification among the evaluated pipelines. The pure deep-learning (DL) baselines methods including “Ours” show poor energetic reasoning, underscoring the pitfalls of relying on geometric alignment alone. Crucially, supplementing both DiffDock and our method with force guidance produces a dramatic jump in physical validity. For DiffDock, the best guidance option (+Glide) lifts the pass rate from 14.3% to 25.6%—an absolute gain of 11.3% and a relative improvement of about 79%. Our method benefits ev"
paper_005,ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching,metrics,steric clashes,supported,2,add,Supported metric value absent from the original gold row.,"th, Red—sampled ligand without force guidance, Purple—sampled ligand with force guidance. and accuracy (e.g., in terms of the root-mean-square deviation, RMSD), a notable shortcoming remains: many generated conformations are physically implausible, exhibiting steric clashes or residing in high-energy regions [13], primarily because physical priors are under-utilized in the model design. However, purely data-driven methods often fail to incorporate critical physical constraints, which can lead to unphysical poses. In real-world d"
paper_005,ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching,metrics,Vina score,supported,2,add,Supported metric value absent from the original gold row.,"s-based approaches and deep generative methods, we propose a novel force-guided flow matching model called ForceFM. Specifically, ForceFM integrates physics-based priors in the form of guiding force terms derived from multiple scoring functions, including the Vina score [3], Gnina score [14], Glide score [4], and Confscore [10]. By explicitly modeling a force-guidance network with these diverse energy functions, our approach steers the generative process toward lower-energy conformations, thereby improving physical plausibil"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,task,protein-ligand binding pose prediction,weak,1,review,Only weak lexical evidence was found; human review required.,PLINDER: The protein-ligand interactions dataset and evaluation resource Janani Durairaj * 1 2 Yusuf Adeshina * 3 Zhonglin Cao 4 Xuejin Zhang 3 Vladas Oleinikovas 3 Thomas Duignan 3 Zachary McClure 4 Xavier Robin 1 2 Gabriel Studer 1 2 Daniel Kovtun 3 Emanuele Rossi 3 Guoqi
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,task,confidence-ranked ligand pose generation,weak,5,review,Only weak lexical evidence was found; human review required.,PLINDER: The protein-ligand interactions dataset and evaluation resource Figure 2. DiffDock performance. Success rate as the percentage of test systems with at least one pose with RMSD <2 ˚A from reference in the Top-10 poses when trained of different training sets and tested on: A
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,models_or_methods,PoseBusters,weak,4,review,Only weak lexical evidence was found; human review required.,"ms: For a given train-test split, similarity metric and threshold, we find the fraction of test systems having at least one connection (an edge with sim- ilarity ≥threshold for that metric) with the train set (also applied to validation vs. test and train vs. PoseBusters). Since DiffDock is designed for single ligand docking, we focused on holo PLI systems involving only a single ligand and selected one system for each unique PDB ID, CCD code combination, yielding 106,745 systems across 35,255 unique ligand SMILES, referred t"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,models_or_methods,DiffDock,supported,1,review,This looks like a comparison/baseline/tool name; confirm before treating it as the paper method.,"interaction and ligand levels, and paired unbound (apo) and predicted structures. We propose an approach to generate training and evaluation splits that minimizes task-specific leak- age and maximizes test set quality, and compare the resulting performance of DiffDock when re- trained with different kinds of splits. 1. Introduction The protein-ligand field has seen a surge in the application of deep learning-based prediction methods, notably in tasks such as rigid body docking (St¨ark et al., 2022; Lu et al., 2022; Corso e"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,metrics,PoseBusters checks,supported,10,add,Supported metric value absent from the original gold row.,"is superposed to the corresponding system and additional metrics are calculated based on trans- planting the ligand from the system to the linked structure. These include the RMSD of the superposition as well as the lDDT-LP, lDDT-PLI (Robin et al., 2023) and PoseBusters checks (Buttenschoen et al., 2024) of the transplanted lig- and. A.3. Matched molecular series To enable evaluation of lead optimization use-cases, we detected PLI systems containing matched molecular series (MMS), where the ligands in the set all contain the same c"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,metrics,inference time,supported,10,add,Supported metric value absent from the original gold row.,"thods are used to prioritize changes to this series that optimize binding. This is a key part of typical lead optimization stages of drug development, and this annotation allows for fair evaluation of methods that make use of this prior knowledge available at inference time. Using all the annotated ligands, we generated the mm- pdb index using default parameters. This index maps ligands that are matched molecular pairs to their shared core scaffold. We dropped scaffolds which were frag- mented or contained less than 5 atoms. Sys"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,metrics,clash score,supported,11,add,Supported metric value absent from the original gold row.,"4), SCOP (Murzin et al., 1995), Pfam (Mistry et al., 2021), UniProt (Consortium, 2019), Kinase (Kanev et al., 2020), PANTHER (Thomas et al., 2022) for each protein chain in the entry and also aggregated to the system pocket Entry quality Resolution, R, Rfree, clash score, % Ramachandran outliers, % rotamer outliers, % RSRZ outliers, data completenessMolProbity score (Chen et al., 2010) Per-residue quality RSR, RSCC, RSRZ,occupancy, missing/resolved atom counts, outliers (clash, geometry, density, chirality) and alternative co"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,metrics,diversity,supported,1,review,Generic metric label; confirm whether the paper reports it as a main evaluation metric.,"and interactions (PLI) are foundational to small molecule drug design. With compu- tational methods striving towards experimental accuracy, there is a critical demand for a well- curated and diverse PLI dataset. Existing datasets are often limited in size and diversity, and com- monly used evaluation sets suffer from training information leakage, hindering the realistic as- sessment of method generalization capabilities. To address these shortcomings, we present PLIN- DER, the largest and most annotated dataset to date, com"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,metrics,Lipinski,supported,4,add,Supported metric value absent from the original gold row.,"DB- Bind (Wang et al., 2005) and DockGen datasets (Corso et al., 2024). Each system in PLINDER has over 500 annotations across the categories listed in Appendix A. Of the 615,932 ligands in holo systems covering 46,988 unique CCD codes, 233,760 (37%) pass the Lipinski Ro5 criteria, 146,444 (23%) have a covalent linkage, 122,741 (19%) are cofactors, 105,836 (17%) are oligo-saccharides, -nucleotides or -peptides, and 55,987 (9%) are fragments. 15,383 systems are part of 2,117 congeneric MMS, each with at least three ligands"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,metrics,LDDT,supported,2,add,Supported metric value absent from the original gold row.,"igand similarity using ECFP4 finger- prints. MMSeqs and Foldseek searches were conducted on all PDB chains within all systems (E-value < 0.01, min seq id 0.2, max seqs 5000) to yield alignments and query coverages. Protein similarities are determined based on lDDT score (only for Foldseek), identity percentage, sequence similarity, and query coverage-adjusted global ver- sions of these scores. Per-residue alignment information was used to calculate pocket-level scores. PLIP interactions were made unique using the inter"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,metrics,MAE,supported,12,add,Supported metric value absent from the original gold row.,"EEE, EPE, ETE, ETF, ETX, F09, F4R, FJO, FTT, FW5, GLV, GOL, GVT, GYF, HAE, HAI, HCA, HCS, HED, HEX, HEZ, HP6, HSG, HSH, HT3, HTG, HTH, HTO, HZA, I3C, ICT, IHP, IHS, IMD, IPH, JDJ, K12, KDO, L1P, L2C, L2P, L3P, L4P, LAC, LDA, LI1, LMR, LMT, LMU, LUT, M2M, MAC, MAE, MB3, MBN, MBO, MC3, ME2, MEG, MES, MLA, MLI, MLT, MPD, MPO, MRD, MSE, MYR, N8E, NBN, NET, NEX, NHE, O4B, OCT, OES, OGA, OP2, OTE, OXM, P03, P15, P1O, P22, P25, P2K, P33, P3G, P4C, P4G, P4K, P6G, PA8, PC8, PD7, PE3, PE4, PE5, PE6, PE7, PE8, PEG, PEP, PEU, PEX"
paper_007,EquiBind: Geometric Deep Learning for Drug Binding Structure Prediction,task,protein-ligand binding pose prediction,supported,6,review,Task labels are interpretive and should be curated manually.,"EQUIBIND: Geometric Deep Learning for Drug Binding Structure Prediction sα := cos(α) sin(α)  . Thus, we rewrite the constraint in Equa- tion (2) as s∆kl = Aβkk′l′ls∆k′l′ , ∀k, k′ ∈Ni, ∀l, l′ ∈Nj. Equation (1) is then rewritten for bond (i,j), up to a constant: max {∆kl} X k∈Ni X l∈Nj ⟨s∆kl, s∗ ∆kl⟩ (3"
paper_007,EquiBind: Geometric Deep Learning for Drug Binding Structure Prediction,task,direct-shot molecular docking,supported,1,review,Task labels are interpretive and should be curated manually.,"gineering. Ex- isting methods are computationally expensive as they rely on heavy candidate sampling cou- pled with scoring, ranking, and ﬁne-tuning steps. We challenge this paradigm with EQUIBIND, an SE(3)-equivariant geometric deep learning model performing direct-shot prediction of both i) the re- ceptor binding location (blind docking) and ii) the ligand’s bound pose and orientation. EquiBind achieves signiﬁcant speed-ups and better quality compared to traditional and recent baselines. Fur- ther, we show extra i"
paper_007,EquiBind: Geometric Deep Learning for Drug Binding Structure Prediction,task,rigid receptor blind docking,supported,1,review,Task labels are interpretive and should be curated manually.,"rely on heavy candidate sampling cou- pled with scoring, ranking, and ﬁne-tuning steps. We challenge this paradigm with EQUIBIND, an SE(3)-equivariant geometric deep learning model performing direct-shot prediction of both i) the re- ceptor binding location (blind docking) and ii) the ligand’s bound pose and orientation. EquiBind achieves signiﬁcant speed-ups and better quality compared to traditional and recent baselines. Fur- ther, we show extra improvements when coupling it with existing ﬁne-tuning techniques at"
paper_007,EquiBind: Geometric Deep Learning for Drug Binding Structure Prediction,metrics,inference time,supported,2,add,Supported metric value absent from the original gold row.,"Structure Prediction Figure 1. High-level overview of the structural drug binding problem tackled by EQUIBIND. to perform a direct prediction of the ligand-receptor com- plex structure without relying on heavy sampling as prior work, thus achieving signiﬁcant inference time speed-ups. Moreover, since 3D structural data suffers from scarcity (e.g., only around 19K experimental complexes are publicly available in the PDBbind database), it is crucial to inject the right physical, chemical, or biological inductive biases into DL mod"
paper_008,"DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",task,confidence-ranked ligand pose generation,supported,4,review,Task labels are interpretive and should be curated manually.,"ck top-1 Figure 2: “DIFFDOCK top-1” refers to the sample with the highest conﬁdence. “DIFFDOCK sam- ples” to the other diffusion model samples. Left: Visual diagram of the advantage of generative models over regression models. Given uncertainty in the correct pose (represented by the orange distribution), regression models tend to predict the mean of the distribution, which may lie in a region of low density. Center: when there is a global symmetry in the protein (aleatoric uncer- tainty), EquiBind places the molecu"
